peak_date,trough_date,ticker,sector,industry,pre_dd_beta,pre_dd_vol,pre_dd_momentum,drawdown_return_pct
1987-08-25,1987-12-04,DOC,Real Estate,REIT - Healthcare Facilities,0.3151,0.2365,0.0248,-3.968
1987-08-25,1987-12-04,ED,Utilities,Utilities - Regulated Electric,0.7592,0.1822,-0.1312,-4.008
1987-08-25,1987-12-04,D,Utilities,Utilities - Regulated Electric,0.7231,0.1697,-0.1285,-6.314
1987-08-25,1987-12-04,EIX,Utilities,Utilities - Regulated Electric,0.9723,0.2191,-0.1251,-7.003
1987-08-25,1987-12-04,XEL,Utilities,Utilities - Regulated Electric,0.975,0.2516,-0.1447,-7.125
1989-10-09,1990-01-30,NBR,Energy,Oil & Gas Drilling,-0.3747,0.6389,0.2308,58.824
1989-10-09,1990-01-30,ADBE,Technology,Software - Application,1.3951,0.5286,0.0337,36.532
1989-10-09,1990-01-30,NEM,Basic Materials,Gold,0.5366,0.343,0.0981,33.564
1989-10-09,1990-01-30,J,Industrials,Engineering & Construction,0.2128,0.2655,0.195,25.366
1989-10-09,1990-01-30,XRAY,Healthcare,Medical Instruments & Supplies,0.1229,0.6751,0.3548,22.5
1990-07-16,1990-10-11,OKE,Energy,Oil & Gas Midstream,0.7203,0.265,0.0707,10.1
1990-07-16,1990-10-11,DTE,Utilities,Utilities - Regulated Electric,0.4927,0.1481,0.3529,9.3
1990-07-16,1990-10-11,EOG,Energy,Oil & Gas E&P,0.6226,0.3205,,8.634
1990-07-16,1990-10-11,PFE,Healthcare,Drug Manufacturers - General,0.8873,0.251,0.1602,6.205
1990-07-16,1990-10-11,VLO,Energy,Oil & Gas Refining & Marketing,0.8506,0.3793,0.0316,6.063
1997-10-07,1997-10-27,ES,Utilities,Utilities - Regulated Electric,0.3443,0.4138,-0.1605,15.19
1997-10-07,1997-10-27,BBY,Consumer Cyclical,Specialty Retail,0.1036,0.6297,0.006,11.458
1997-10-07,1997-10-27,CMCSA,Communication Services,Telecom Services,0.8045,0.3428,0.5752,7.494
1997-10-07,1997-10-27,URBN,Consumer Cyclical,Apparel Retail,0.323,0.5428,-0.05,6.154
1997-10-07,1997-10-27,WMB,Energy,Oil & Gas Midstream,0.6575,0.2666,0.4466,5.759
1998-07-17,1998-08-31,EXC,Utilities,Utilities - Regulated Electric,0.3376,0.2852,0.4475,18.532
1998-07-17,1998-08-31,TAP,Consumer Defensive,Beverages - Brewers,0.5303,0.4767,0.4856,12.666
1998-07-17,1998-08-31,DUK,Utilities,Utilities - Regulated Electric,0.43,0.1752,0.2833,9.867
1998-07-17,1998-08-31,PEG,Utilities,Utilities - Regulated Electric,0.3084,0.1648,0.4952,8.955
1998-07-17,1998-08-31,NEE,Utilities,Utilities - Regulated Electric,0.234,0.1433,0.434,7.991
1999-07-16,1999-10-15,NEM,Basic Materials,Gold,-0.1734,0.7168,-0.2176,54.477
1999-07-16,1999-10-15,AAPL,Technology,Consumer Electronics,1.3475,0.5963,0.2576,40.518
1999-07-16,1999-10-15,MU,Technology,Semiconductors,1.3118,0.7669,0.5168,34.917
