peak_date,winners_n,winners_median_beta,winners_median_vol,winners_median_momentum,universe_n,universe_median_beta,universe_median_vol,universe_median_momentum
1987-08-25,5,0.7592,0.2191,-0.1285,226,0.9181,0.29479999999999995,0.2195
1989-10-09,5,0.2128,0.5286,0.195,234,0.81065,0.21760000000000002,0.2694
1990-07-16,5,0.7203,0.265,0.11545,239,0.8388,0.2548,0.13340000000000002
1997-10-07,5,0.3443,0.4138,0.006,290,0.7202999999999999,0.26239999999999997,0.3749
1998-07-17,5,0.3376,0.1752,0.4475,299,0.7953,0.2976,0.20285
1999-07-16,5,1.0631,0.7168,0.2576,306,0.7428,0.4108,0.0941
2000-03-24,5,0.4891,0.4687,-0.5294,313,0.6646,0.4213,-0.138
2007-10-09,5,0.9273,0.1945,0.1694,350,1.0133,0.2379,0.0892
2015-05-21,5,0.9478,0.1993,0.2028,406,1.0081,0.20179999999999998,0.1627
2018-01-26,5,1.066,0.2714,0.0161,447,1.0067,0.1864,0.17775000000000002
2018-09-20,5,0.5785,0.2186,-0.0437,449,0.9159,0.2203,0.1224
2020-02-19,5,0.5672,0.2074,0.0065,461,1.0156,0.2287,0.1711
2022-01-03,5,1.205,0.3754,0.5247,475,0.9359,0.2562,0.21545
2025-02-19,5,0.1213,0.1872,0.0647,495,0.6605,0.2518,0.1411
OVERALL,70,0.6758500000000001,0.269,0.0647,4990,0.8773500000000001,0.2533,0.1669
