peak_date,trough_date,recovery_date,peak_close,trough_close,max_dd_pct
1928-05-14,1928-06-12,1928-08-28,20.440000534057617,18.34000015258789,-10.274
1929-09-16,1932-06-01,1954-09-22,31.860000610351562,4.400000095367432,-86.19
1955-09-23,1955-10-11,1955-11-14,45.630001068115234,40.79999923706055,-10.585
1956-08-03,1957-10-22,1958-09-24,49.63999938964844,38.97999954223633,-21.475
1959-08-03,1960-10-25,1961-01-27,60.709999084472656,52.20000076293945,-14.017
1961-12-12,1962-06-26,1963-09-03,72.63999938964844,52.31999969482422,-27.974
1966-02-09,1966-10-07,1967-05-04,94.05999755859375,73.19999694824219,-22.177
1967-09-25,1968-03-05,1968-04-29,97.58999633789062,87.72000122070312,-10.114
1968-11-29,1970-05-26,1972-03-06,108.37000274658203,69.29000091552734,-36.062
1973-01-11,1974-10-03,1980-07-17,120.23999786376953,62.279998779296875,-48.204
1980-11-28,1982-08-12,1982-11-03,140.52000427246094,102.41999816894531,-27.114
1983-10-10,1984-07-24,1985-01-21,172.64999389648438,147.82000732421875,-14.382
1987-08-25,1987-12-04,1989-07-26,336.7699890136719,223.9199981689453,-33.51
1989-10-09,1990-01-30,1990-05-29,359.79998779296875,322.9800109863281,-10.233
1990-07-16,1990-10-11,1991-02-13,368.95001220703125,295.4599914550781,-19.919
1997-10-07,1997-10-27,1997-12-05,983.1199951171875,876.989990234375,-10.795
1998-07-17,1998-08-31,1998-11-23,1186.75,957.280029296875,-19.336
1999-07-16,1999-10-15,1999-11-16,1418.780029296875,1247.4100341796875,-12.079
2000-03-24,2002-10-09,2007-05-30,1527.4599609375,776.760009765625,-49.147
2007-10-09,2009-03-09,2013-03-28,1565.1500244140625,676.530029296875,-56.775
2015-05-21,2016-02-11,2016-07-11,2130.820068359375,1829.0799560546875,-14.161
2018-01-26,2018-02-08,2018-08-24,2872.8701171875,2581.0,-10.16
2018-09-20,2018-12-24,2019-04-23,2930.75,2351.10009765625,-19.778
2020-02-19,2020-03-23,2020-08-18,3386.14990234375,2237.39990234375,-33.925
2022-01-03,2022-10-12,2024-01-19,4796.56005859375,3577.030029296875,-25.425
2025-02-19,2025-04-08,2025-06-27,6144.14990234375,4982.77001953125,-18.902
