peak_date,trough_date,rank,ff_industry,gics_sector,cum_return_pct
1928-05-14,1928-06-12,1,Telcm,Communication Services,-5.28
1928-05-14,1928-06-12,2,Chems,Basic Materials,-5.902
1928-05-14,1928-06-12,3,Shops,Consumer Cyclical,-6.264
1929-09-16,1932-06-01,1,Telcm,Communication Services,-63.948
1929-09-16,1932-06-01,2,NoDur,Consumer Defensive,-66.607
1929-09-16,1932-06-01,3,Hlth,Healthcare,-72.332
1955-09-23,1955-10-11,1,Telcm,Communication Services,-3.304
1955-09-23,1955-10-11,2,NoDur,Consumer Defensive,-5.773
1955-09-23,1955-10-11,3,Utils,Utilities,-6.216
1956-08-03,1957-10-22,1,Hlth,Healthcare,6.62
1956-08-03,1957-10-22,2,Telcm,Communication Services,-5.381
1956-08-03,1957-10-22,3,NoDur,Consumer Defensive,-7.576
1959-08-03,1960-10-25,1,Telcm,Communication Services,15.341
1959-08-03,1960-10-25,2,NoDur,Consumer Defensive,13.183
1959-08-03,1960-10-25,3,Utils,Utilities,9.592
1961-12-12,1962-06-26,1,Enrgy,Energy,-12.574
1961-12-12,1962-06-26,2,Durbl,Consumer Cyclical,-20.625
1961-12-12,1962-06-26,3,Utils,Utilities,-22.865
1966-02-09,1966-10-07,1,Enrgy,Energy,-13.088
1966-02-09,1966-10-07,2,Utils,Utilities,-13.142
1966-02-09,1966-10-07,3,BusEq,Technology,-15.686
1967-09-25,1968-03-05,1,Shops,Consumer Cyclical,2.184
1967-09-25,1968-03-05,2,Money,Financial Services,-1.829
1967-09-25,1968-03-05,3,Utils,Utilities,-2.419
1968-11-29,1970-05-26,1,Hlth,Healthcare,-16.027
1968-11-29,1970-05-26,2,Telcm,Communication Services,-22.233
1968-11-29,1970-05-26,3,Utils,Utilities,-26.477
1973-01-11,1974-10-03,1,Telcm,Communication Services,-22.933
1973-01-11,1974-10-03,2,Enrgy,Energy,-34.374
1973-01-11,1974-10-03,3,Chems,Basic Materials,-40.085
1980-11-28,1982-08-12,1,Telcm,Communication Services,24.469
1980-11-28,1982-08-12,2,NoDur,Consumer Defensive,15.69
1980-11-28,1982-08-12,3,Shops,Consumer Cyclical,12.906
1983-10-10,1984-07-24,1,Enrgy,Energy,8.301
1983-10-10,1984-07-24,2,Telcm,Communication Services,4.19
1983-10-10,1984-07-24,3,NoDur,Consumer Defensive,-5.101
1987-08-25,1987-12-04,1,Utils,Utilities,-13.667
1987-08-25,1987-12-04,2,Telcm,Communication Services,-21.102
1987-08-25,1987-12-04,3,Enrgy,Energy,-29.08
1989-10-09,1990-01-30,1,Enrgy,Energy,0.946
1989-10-09,1990-01-30,2,Utils,Utilities,0.833
1989-10-09,1990-01-30,3,Hlth,Healthcare,-6.289
1990-07-16,1990-10-11,1,Utils,Utilities,-2.603
1990-07-16,1990-10-11,2,Enrgy,Energy,-4.026
1990-07-16,1990-10-11,3,Telcm,Communication Services,-12.907
1997-10-07,1997-10-27,1,Utils,Utilities,-2.721
1997-10-07,1997-10-27,2,Telcm,Communication Services,-4.764
1997-10-07,1997-10-27,3,Durbl,Consumer Cyclical,-6.89
1998-07-17,1998-08-31,1,Utils,Utilities,-2.264
1998-07-17,1998-08-31,2,Telcm,Communication Services,-13.993
1998-07-17,1998-08-31,3,Enrgy,Energy,-14.529
1999-07-16,1999-10-15,1,BusEq,Technology,-6.668
1999-07-16,1999-10-15,2,Utils,Utilities,-6.813
1999-07-16,1999-10-15,3,Telcm,Communication Services,-8.321
2000-03-24,2002-10-09,1,NoDur,Consumer Defensive,22.674
2000-03-24,2002-10-09,2,Chems,Basic Materials,5.288
2000-03-24,2002-10-09,3,Enrgy,Energy,-5.701
2007-10-09,2009-03-09,1,Hlth,Healthcare,-33.7
2007-10-09,2009-03-09,2,NoDur,Consumer Defensive,-35.395
2007-10-09,2009-03-09,3,Shops,Consumer Cyclical,-39.846
2015-05-21,2016-02-11,1,NoDur,Consumer Defensive,0.212
2015-05-21,2016-02-11,2,Utils,Utilities,-8.174
2015-05-21,2016-02-11,3,Shops,Consumer Cyclical,-9.044
2018-01-26,2018-02-08,1,NoDur,Consumer Defensive,-7.088
2018-01-26,2018-02-08,2,Telcm,Communication Services,-7.283
2018-01-26,2018-02-08,3,Utils,Utilities,-7.487
2018-09-20,2018-12-24,1,Utils,Utilities,-5.021
2018-09-20,2018-12-24,2,Telcm,Communication Services,-11.159
2018-09-20,2018-12-24,3,Chems,Basic Materials,-14.333
2020-02-19,2020-03-23,1,Shops,Consumer Cyclical,-24.651
2020-02-19,2020-03-23,2,Hlth,Healthcare,-26.241
2020-02-19,2020-03-23,3,Telcm,Communication Services,-28.841
2022-01-03,2022-10-12,1,Enrgy,Energy,53.374
2022-01-03,2022-10-12,2,NoDur,Consumer Defensive,-7.479
2022-01-03,2022-10-12,3,Utils,Utilities,-10.27
2025-02-19,2025-04-08,1,NoDur,Consumer Defensive,-3.908
2025-02-19,2025-04-08,2,Utils,Utilities,-8.271
2025-02-19,2025-04-08,3,Telcm,Communication Services,-9.369
