peak_date,trough_date,ff_industry,gics_sector,cum_return_pct
1928-05-14,1928-06-12,NoDur,Consumer Defensive,-7.679
1928-05-14,1928-06-12,Durbl,Consumer Cyclical,-10.764
1928-05-14,1928-06-12,Manuf,Industrials,-8.33
1928-05-14,1928-06-12,Enrgy,Energy,-13.84
1928-05-14,1928-06-12,Chems,Basic Materials,-5.902
1928-05-14,1928-06-12,BusEq,Technology,-13.649
1928-05-14,1928-06-12,Telcm,Communication Services,-5.28
1928-05-14,1928-06-12,Utils,Utilities,-12.38
1928-05-14,1928-06-12,Shops,Consumer Cyclical,-6.264
1928-05-14,1928-06-12,Hlth,Healthcare,-6.782
1928-05-14,1928-06-12,Money,Financial Services,-15.597
1928-05-14,1928-06-12,Other,Other,-8.936
1929-09-16,1932-06-01,NoDur,Consumer Defensive,-66.607
1929-09-16,1932-06-01,Durbl,Consumer Cyclical,-88.576
1929-09-16,1932-06-01,Manuf,Industrials,-89.2
1929-09-16,1932-06-01,Enrgy,Energy,-78.408
1929-09-16,1932-06-01,Chems,Basic Materials,-83.714
1929-09-16,1932-06-01,BusEq,Technology,-91.544
1929-09-16,1932-06-01,Telcm,Communication Services,-63.948
1929-09-16,1932-06-01,Utils,Utilities,-83.178
1929-09-16,1932-06-01,Shops,Consumer Cyclical,-83.555
1929-09-16,1932-06-01,Hlth,Healthcare,-72.332
1929-09-16,1932-06-01,Money,Financial Services,-92.151
1929-09-16,1932-06-01,Other,Other,-89.996
1955-09-23,1955-10-11,NoDur,Consumer Defensive,-5.773
1955-09-23,1955-10-11,Durbl,Consumer Cyclical,-8.19
1955-09-23,1955-10-11,Manuf,Industrials,-11.147
1955-09-23,1955-10-11,Enrgy,Energy,-10.27
1955-09-23,1955-10-11,Chems,Basic Materials,-12.431
1955-09-23,1955-10-11,BusEq,Technology,-9.867
1955-09-23,1955-10-11,Telcm,Communication Services,-3.304
1955-09-23,1955-10-11,Utils,Utilities,-6.216
1955-09-23,1955-10-11,Shops,Consumer Cyclical,-7.262
1955-09-23,1955-10-11,Hlth,Healthcare,-7.535
1955-09-23,1955-10-11,Money,Financial Services,-7.531
1955-09-23,1955-10-11,Other,Other,-9.723
1956-08-03,1957-10-22,NoDur,Consumer Defensive,-7.576
1956-08-03,1957-10-22,Durbl,Consumer Cyclical,-18.658
1956-08-03,1957-10-22,Manuf,Industrials,-25.293
1956-08-03,1957-10-22,Enrgy,Energy,-16.717
1956-08-03,1957-10-22,Chems,Basic Materials,-22.003
1956-08-03,1957-10-22,BusEq,Technology,-7.73
1956-08-03,1957-10-22,Telcm,Communication Services,-5.381
1956-08-03,1957-10-22,Utils,Utilities,-9.396
1956-08-03,1957-10-22,Shops,Consumer Cyclical,-14.156
1956-08-03,1957-10-22,Hlth,Healthcare,6.62
1956-08-03,1957-10-22,Money,Financial Services,-13.913
1956-08-03,1957-10-22,Other,Other,-26.018
1959-08-03,1960-10-25,NoDur,Consumer Defensive,13.183
1959-08-03,1960-10-25,Durbl,Consumer Cyclical,-22.071
1959-08-03,1960-10-25,Manuf,Industrials,-19.209
1959-08-03,1960-10-25,Enrgy,Energy,-16.949
1959-08-03,1960-10-25,Chems,Basic Materials,-22.82
1959-08-03,1960-10-25,BusEq,Technology,-2.817
1959-08-03,1960-10-25,Telcm,Communication Services,15.341
1959-08-03,1960-10-25,Utils,Utilities,9.592
1959-08-03,1960-10-25,Shops,Consumer Cyclical,-0.448
1959-08-03,1960-10-25,Hlth,Healthcare,-8.567
1959-08-03,1960-10-25,Money,Financial Services,-8.477
1959-08-03,1960-10-25,Other,Other,-17.96
1961-12-12,1962-06-26,NoDur,Consumer Defensive,-33.636
1961-12-12,1962-06-26,Durbl,Consumer Cyclical,-20.625
1961-12-12,1962-06-26,Manuf,Industrials,-30.185
1961-12-12,1962-06-26,Enrgy,Energy,-12.574
1961-12-12,1962-06-26,Chems,Basic Materials,-29.288
1961-12-12,1962-06-26,BusEq,Technology,-38.785
1961-12-12,1962-06-26,Telcm,Communication Services,-26.624
1961-12-12,1962-06-26,Utils,Utilities,-22.865
1961-12-12,1962-06-26,Shops,Consumer Cyclical,-30.797
1961-12-12,1962-06-26,Hlth,Healthcare,-36.825
