peak_date,trough_date,rank,ticker,return_pct,peak_px,trough_px,peak_obs_date,trough_obs_date,sp500_drawdown_pct,membership_confidence
1987-08-25,1987-12-04,1,DOC,-3.968,0.45693913102149963,0.4388098418712616,1987-08-25,1987-12-04,-33.51,medium
1987-08-25,1987-12-04,2,ED,-4.008,3.115406036376953,2.99053955078125,1987-08-25,1987-12-04,-33.51,medium
1987-08-25,1987-12-04,3,D,-6.314,2.168377161026001,2.031463146209717,1987-08-25,1987-12-04,-33.51,medium
1987-08-25,1987-12-04,4,EIX,-7.003,3.4440793991088867,3.2028894424438477,1987-08-25,1987-12-04,-33.51,medium
1987-08-25,1987-12-04,5,XEL,-7.125,2.6896204948425293,2.4979772567749023,1987-08-25,1987-12-04,-33.51,medium
1989-10-09,1990-01-30,1,NBR,58.824,45.39201354980469,72.09320068359375,1989-10-09,1990-01-30,-10.233,medium
1989-10-09,1990-01-30,2,ADBE,36.532,1.012289047241211,1.38209867477417,1989-10-09,1990-01-30,-10.233,medium
1989-10-09,1990-01-30,3,NEM,33.564,18.843725204467773,25.168373107910156,1989-10-09,1990-01-30,-10.233,medium
1989-10-09,1990-01-30,4,J,25.366,1.2231330871582031,1.5333918333053589,1989-10-09,1990-01-30,-10.233,medium
1989-10-09,1990-01-30,5,XRAY,22.5,0.6311122179031372,0.7731125950813293,1989-10-09,1990-01-30,-10.233,medium
1990-07-16,1990-10-11,1,OKE,10.1,0.5182286500930786,0.570568323135376,1990-07-16,1990-10-11,-19.919,medium
1990-07-16,1990-10-11,2,DTE,9.3,4.127037525177002,4.510847568511963,1990-07-16,1990-10-11,-19.919,medium
1990-07-16,1990-10-11,3,EOG,8.634,1.8613359928131104,2.0220441818237305,1990-07-16,1990-10-11,-19.919,medium
1990-07-16,1990-10-11,4,PFE,6.205,0.8356900215148926,0.887546718120575,1990-07-16,1990-10-11,-19.919,medium
1990-07-16,1990-10-11,5,VLO,6.063,1.091198205947876,1.1573600769042969,1990-07-16,1990-10-11,-19.919,medium
1997-10-07,1997-10-27,1,ES,15.19,4.119076251983643,4.744755744934082,1997-10-07,1997-10-27,-10.795,medium
1997-10-07,1997-10-27,2,BBY,11.458,1.4501861333847046,1.616352915763855,1997-10-07,1997-10-27,-10.795,medium
1997-10-07,1997-10-27,3,CMCSA,7.494,2.721308469772339,2.9252448081970215,1997-10-07,1997-10-27,-10.795,medium
1997-10-07,1997-10-27,4,URBN,6.154,2.03125,2.15625,1997-10-07,1997-10-27,-10.795,medium
1997-10-07,1997-10-27,5,WMB,5.759,6.450119972229004,6.821592807769775,1997-10-07,1997-10-27,-10.795,medium
1998-07-17,1998-08-31,1,EXC,18.532,3.860790491104126,4.576260566711426,1998-07-17,1998-08-31,-19.336,medium
1998-07-17,1998-08-31,2,TAP,12.666,10.209697723388672,11.502861976623535,1998-07-17,1998-08-31,-19.336,medium
1998-07-17,1998-08-31,3,DUK,9.867,14.261874198913574,15.669118881225586,1998-07-17,1998-08-31,-19.336,medium
1998-07-17,1998-08-31,4,PEG,8.955,5.344919681549072,5.823570251464844,1998-07-17,1998-08-31,-19.336,medium
1998-07-17,1998-08-31,5,NEE,7.991,3.1948204040527344,3.450108766555786,1998-07-17,1998-08-31,-19.336,medium
1999-07-16,1999-10-15,1,NEM,54.477,11.066095352172852,17.09461212158203,1999-07-16,1999-10-15,-12.079,medium
1999-07-16,1999-10-15,2,AAPL,40.518,0.3971118927001953,0.5580154657363892,1999-07-16,1999-10-15,-12.079,medium
1999-07-16,1999-10-15,3,MU,34.917,25.66224479675293,34.62269592285156,1999-07-16,1999-10-15,-12.079,medium
1999-07-16,1999-10-15,4,GEN,32.773,1.3291242122650146,1.7647193670272827,1999-07-16,1999-10-15,-12.079,medium
1999-07-16,1999-10-15,5,ADBE,30.477,11.161076545715332,14.562634468078613,1999-07-16,1999-10-15,-12.079,medium
2000-03-24,2002-10-09,1,DVA,664.667,1.0,7.646667003631592,2000-03-24,2002-10-09,-49.147,high
2000-03-24,2002-10-09,2,COR,379.668,2.398998498916626,11.507223129272461,2000-03-24,2002-10-09,-49.147,high
2000-03-24,2002-10-09,3,THC,246.897,58.0,201.1999969482422,2000-03-24,2002-10-09,-49.147,high
2000-03-24,2002-10-09,4,LMT,241.003,9.054704666137695,30.876792907714844,2000-03-24,2002-10-09,-49.147,high
2000-03-24,2002-10-09,5,DGX,220.447,6.345829010009766,20.334999084472656,2000-03-24,2002-10-09,-49.147,high
2007-10-09,2009-03-09,1,AZO,21.981,122.97000122070312,150.0,2007-10-09,2009-03-09,-56.775,high
2007-10-09,2009-03-09,2,WMT,7.403,10.305968284606934,11.068925857543945,2007-10-09,2009-03-09,-56.775,high
2007-10-09,2009-03-09,3,GILD,3.849,14.538472175598145,15.098051071166992,2007-10-09,2009-03-09,-56.775,high
2007-10-09,2009-03-09,4,MCD,-2.851,33.7246208190918,32.7632942199707,2007-10-09,2009-03-09,-56.775,high
2007-10-09,2009-03-09,5,BAX,-5.873,21.18071746826172,19.936845779418945,2007-10-09,2009-03-09,-56.775,high
2015-05-21,2016-02-11,1,HRL,46.694,21.767070770263672,31.931076049804688,2015-05-21,2016-02-11,-14.161,high
2015-05-21,2016-02-11,2,TSN,39.148,33.601829528808594,46.75627136230469,2015-05-21,2016-02-11,-14.161,high
2015-05-21,2016-02-11,3,O,32.588,27.181636810302734,36.039512634277344,2015-05-21,2016-02-11,-14.161,high
2015-05-21,2016-02-11,4,GOOGL,26.858,27.61228370666504,35.02849197387695,2015-05-21,2016-02-11,-14.161,high
2015-05-21,2016-02-11,5,META,26.628,79.85336303710938,101.11649322509766,2015-05-21,2016-02-11,-14.161,high
2018-01-26,2018-02-08,1,QRVO,13.115,67.94000244140625,76.8499984741211,2018-01-26,2018-02-08,-10.16,high
2018-01-26,2018-02-08,2,NWL,10.186,17.253528594970703,19.010896682739258,2018-01-26,2018-02-08,-10.16,high
2018-01-26,2018-02-08,3,TRIP,8.891,32.70755386352539,35.61548614501953,2018-01-26,2018-02-08,-10.16,high
2018-01-26,2018-02-08,4,EG,5.152,193.2736053466797,203.23028564453125,2018-01-26,2018-02-08,-10.16,high
2018-01-26,2018-02-08,5,HAS,3.937,69.70093536376953,72.44515991210938,2018-01-26,2018-02-08,-10.16,high
2018-09-20,2018-12-24,1,SCG,35.338,34.8387451171875,47.150001525878906,2018-09-20,2018-12-24,-19.778,high
2018-09-20,2018-12-24,2,NEM,10.235,25.23760223388672,27.82054901123047,2018-09-20,2018-12-24,-19.778,high
2018-09-20,2018-12-24,3,AZO,7.994,761.9099731445312,822.8200073242188,2018-09-20,2018-12-24,-19.778,high
2018-09-20,2018-12-24,4,SBUX,7.895,47.64400100708008,51.40550231933594,2018-09-20,2018-12-24,-19.778,high
2018-09-20,2018-12-24,5,PNW,7.415,57.72603988647461,62.00651931762695,2018-09-20,2018-12-24,-19.778,high
2020-02-19,2020-03-23,1,REGN,13.677,398.1203918457031,452.57257080078125,2020-02-19,2020-03-23,-33.925,high
2020-02-19,2020-03-23,2,GILD,8.814,53.11472702026367,57.796234130859375,2020-02-19,2020-03-23,-33.925,high
2020-02-19,2020-03-23,3,KR,5.213,25.877450942993164,27.226512908935547,2020-02-19,2020-03-23,-33.925,high
2020-02-19,2020-03-23,4,CLX,3.215,135.3691864013672,139.72161865234375,2020-02-19,2020-03-23,-33.925,high
2020-02-19,2020-03-23,5,WMT,-2.46,35.905517578125,35.02241897583008,2020-02-19,2020-03-23,-33.925,high
2022-01-03,2022-10-12,1,OXY,110.948,29.17076873779297,61.53507995605469,2022-01-03,2022-10-12,-25.425,high
2022-01-03,2022-10-12,2,COP,63.918,62.74188232421875,102.84522247314453,2022-01-03,2022-10-12,-25.425,high
2022-01-03,2022-10-12,3,MPC,62.995,59.64785385131836,97.2227783203125,2022-01-03,2022-10-12,-25.425,high
2022-01-03,2022-10-12,4,CTRA,62.517,15.870634078979492,25.792434692382812,2022-01-03,2022-10-12,-25.425,high
2022-01-03,2022-10-12,5,DVN,61.04,37.15299606323242,59.831199645996094,2022-01-03,2022-10-12,-25.425,high
2025-02-19,2025-04-08,1,DG,16.708,73.6495132446289,85.95454406738281,2025-02-19,2025-04-08,-18.902,high
2025-02-19,2025-04-08,2,MOH,15.297,286.7900085449219,330.6600036621094,2025-02-19,2025-04-08,-18.902,high
2025-02-19,2025-04-08,3,NOC,14.01,424.69158935546875,484.1893005371094,2025-02-19,2025-04-08,-18.902,high
2025-02-19,2025-04-08,4,COR,11.943,243.11260986328125,272.1470642089844,2025-02-19,2025-04-08,-18.902,high
2025-02-19,2025-04-08,5,ED,11.327,91.41695404052734,101.77165222167969,2025-02-19,2025-04-08,-18.902,high
